,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
86,2018 Tyler Anderson,2018542881,2807.0,5.0,0.6086,0.5897,16.0,0.3944,0.1953,0.018900000000000028
87,2018 Matt Andriese,2018542882,1171.0,4.0,0.631,0.6177,14.0,0.4705,0.1472,0.013299999999999979
88,2018 Brad Brach,2018542960,1067.0,4.0,0.6162,0.5543,18.0,0.5267,0.0276,0.061899999999999955
89,2018 Tyler Chatwood,2018543022,1903.0,5.0,0.5788,0.5672,14.0,0.3295,0.2377,0.011599999999999944
90,2018 Gerrit Cole,2018543037,3238.0,5.0,0.5301,0.5358,11.0,0.5049,0.0309,-0.005700000000000038
91,2018 Anthony DeSclafani,2018543101,1771.0,5.0,0.5685,0.5463,17.0,0.3495,0.1968,0.022199999999999998
92,2018 Nathan Eovaldi,2018543135,1774.0,5.0,0.5609,0.5766,19.0,0.4008,0.1758,-0.015700000000000047
93,2018 Brian Flynn,2018543169,1202.0,4.0,0.6515,0.6611,17.0,0.4725,0.1886,-0.009600000000000053
94,2018 Sam Gaviglio,2018543208,1948.0,4.0,0.6201,0.6345,19.0,0.5457,0.0888,-0.014399999999999968
95,2018 Sonny Gray,2018543243,2159.0,6.0,0.5238,0.4981,18.0,0.3001,0.198,0.025700000000000056
96,2018 Brad Hand,2018543272,1016.0,3.0,0.7087,0.6693,19.0,0.5463,0.123,0.03939999999999999
97,2018 Blaine Hardy,2018543278,1266.0,5.0,0.6175,0.5678,17.0,0.327,0.2408,0.04970000000000008
98,2018 Kyle Hendricks,2018543294,2970.0,4.0,0.6583,0.6797,17.0,0.4451,0.2346,-0.021399999999999975
99,2018 Dan Jennings,2018543359,1006.0,4.0,0.7228,0.6865,19.0,0.5368,0.1497,0.0363
100,2018 Jordan Lyles,2018543475,1317.0,5.0,0.5208,0.4788,16.0,0.3478,0.131,0.04200000000000004
101,2018 Collin McHugh,2018543521,1108.0,6.0,0.5909,0.5343,19.0,0.4838,0.0505,0.056599999999999984
102,2018 Mike Montgomery,2018543557,1859.0,5.0,0.5703,0.5376,19.0,0.3174,0.2202,0.03270000000000006
103,2018 Jake Odorizzi,2018543606,2827.0,5.0,0.6363,0.6351,18.0,0.5363,0.0988,0.0011999999999999789
104,2018 Tanner Roark,2018543699,2849.0,6.0,0.4827,0.5021,17.0,0.3938,0.1083,-0.019399999999999973
105,2018 Jeurys Familia,2018544727,1080.0,4.0,0.6296,0.637,18.0,0.5361,0.1009,-0.007399999999999962
106,2018 Stephen Strasburg,2018544931,2060.0,5.0,0.5353,0.5204,16.0,0.4563,0.0641,0.014900000000000024
107,2018 Trevor Bauer,2018545333,2870.0,6.0,0.5474,0.5836,9.0,0.3686,0.215,-0.03620000000000001
108,2018 Michael Lorenzen,2018547179,1229.0,6.0,0.5429,0.5162,19.0,0.3971,0.1191,0.026700000000000057
109,2018 Masahiro Tanaka,2018547888,2392.0,6.0,0.5284,0.5502,15.0,0.3315,0.2187,-0.02180000000000004
110,2018 Hyun Jin Ryu,2018547943,1320.0,6.0,0.5495,0.5394,11.0,0.3258,0.2136,0.010099999999999998
