,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
456,2019 Dylan Cease,2019656302,1327.0,5.0,0.5849,0.5151,18.0,0.4695,0.0456,0.06979999999999997
457,2019 Jack Flaherty,2019656427,2993.0,5.0,0.5307,0.514,14.0,0.4634,0.0506,0.016699999999999937
458,2019 Jeff Hoffman,2019656546,1104.0,5.0,0.5447,0.6196,9.0,0.587,0.0326,-0.07490000000000008
459,2019 Sean Newcomb,2019656794,1167.0,4.0,0.728,0.7158,18.0,0.6581,0.0577,0.012199999999999989
460,2019 Jordan Yamamoto,2019657141,1288.0,6.0,0.5507,0.5497,19.0,0.4868,0.0629,0.0010000000000000009
461,2019 Dinelson Lamet,2019659275,1210.0,5.0,0.57,0.5314,19.0,0.3554,0.176,0.03859999999999997
462,2019 José Suarez,2019660761,1463.0,4.0,0.6326,0.5874,19.0,0.4737,0.1137,0.04520000000000002
463,2019 Trent Thornton,2019663423,2684.0,7.0,0.5425,0.5544,17.0,0.4408,0.1136,-0.011900000000000022
464,2019 Peter Lambert,2019663567,1531.0,5.0,0.5976,0.5457,19.0,0.531,0.0147,0.05190000000000006
465,2019 Chris Paddack,2019663978,2191.0,3.0,0.6567,0.6642,12.0,0.6162,0.048,-0.007500000000000062
466,2019 Joey Lucchesi,2019664192,2560.0,3.0,0.6922,0.7016,11.0,0.5148,0.1868,-0.009399999999999964
467,2019 Taylor Clarke,2019664199,1369.0,5.0,0.5283,0.5131,19.0,0.45,0.0631,0.015199999999999991
468,2019 Framber Valdez,2019664285,1174.0,4.0,0.6477,0.6395,16.0,0.4123,0.2272,0.008200000000000096
469,2019 Zach Plesac,2019668676,1854.0,4.0,0.5849,0.5668,18.0,0.5043,0.0625,0.018100000000000005
470,2019 Zac Gallen,2019668678,1334.0,5.0,0.536,0.5269,16.0,0.4775,0.0494,0.009099999999999997
471,2019 Shane Bieber,2019669456,3202.0,5.0,0.5423,0.5605,16.0,0.4566,0.1039,-0.018199999999999994
472,2019 Trevor Richards,2019670950,2162.0,4.0,0.628,0.6266,19.0,0.438,0.1886,0.0013999999999999568
473,2021 Adam Wainwright,2021425794,3005.0,5.0,0.5277,0.5253,16.0,0.3414,0.1839,0.0023999999999999577
474,2021 Zack Greinke,2021425844,2459.0,6.0,0.5434,0.5171,15.0,0.4018,0.1153,0.02629999999999999
475,2021 Yusmeiro Petit,2021433589,1038.0,4.0,0.608,0.5462,18.0,0.4595,0.0867,0.061799999999999966
476,2021 Corey Kluber,2021446372,1319.0,5.0,0.5632,0.4939,17.0,0.2957,0.1982,0.06930000000000003
477,2021 Rich Hill,2021448179,2439.0,6.0,0.6402,0.659,14.0,0.4727,0.1863,-0.01880000000000004
478,2021 Junior Guerra,2021448855,1165.0,5.0,0.6117,0.5377,17.0,0.3854,0.1523,0.07400000000000007
479,2021 Charlie Morton,2021450203,2937.0,5.0,0.5568,0.5537,10.0,0.3684,0.1853,0.0030999999999999917
480,2021 Jon Lester,2021452657,2304.0,5.0,0.566,0.5469,17.0,0.3086,0.2383,0.019099999999999895
481,2021 Daniel Bard,2021453268,1162.0,4.0,0.5775,0.567,18.0,0.4647,0.1023,0.010500000000000065
482,2021 Max Scherzer,2021453286,2730.0,5.0,0.5662,0.5271,18.0,0.467,0.0601,0.039100000000000024
483,2021 Jake Arrieta,2021453562,1700.0,4.0,0.6392,0.6071,14.0,0.5259,0.0812,0.03210000000000002
484,2021 David Price,2021456034,1123.0,5.0,0.6318,0.5979,16.0,0.3446,0.2533,0.03390000000000004
485,2021 Johnny Cueto,2021456501,1790.0,6.0,0.4948,0.4844,16.0,0.3508,0.1336,0.01040000000000002
486,2021 J. A. Happ,2021457918,2572.0,5.0,0.6148,0.6096,10.0,0.54,0.0696,0.005199999999999982
487,2021 Lance Lynn,2021458681,2410.0,5.0,0.5407,0.5058,16.0,0.4195,0.0863,0.03489999999999993
488,2021 Jhoulys Chacín,2021468504,1019.0,5.0,0.5694,0.5176,19.0,0.3445,0.1731,0.05180000000000007
489,2021 Brett Anderson,2021474463,1481.0,6.0,0.6505,0.5903,13.0,0.451,0.1393,0.06019999999999992
490,2021 Lucas Luetge,2021476595,1181.0,4.0,0.7853,0.7399,19.0,0.6156,0.1243,0.045399999999999996
491,2021 Clayton Kershaw,2021477132,1759.0,4.0,0.7255,0.725,18.0,0.4747,0.2503,0.000500000000000056
492,2021 Wade Miley,2021489119,2524.0,6.0,0.7237,0.7258,18.0,0.4679,0.2579,-0.0020999999999999908
493,2021 Sergio Romo,2021489265,1014.0,4.0,0.6855,0.6339,17.0,0.5572,0.0767,0.05159999999999998
494,2021 Craig Stammen,2021489334,1276.0,5.0,0.6604,0.6458,19.0,0.482,0.1638,0.014599999999999946
495,2021 Adam Ottavino,2021493603,1103.0,6.0,0.6203,0.5507,19.0,0.4751,0.0756,0.0696
496,2021 Deolis Guerra,2021500610,1066.0,5.0,0.5569,0.4981,18.0,0.3724,0.1257,0.05879999999999996
497,2021 José Quintana,2021500779,1135.0,4.0,0.5922,0.581,19.0,0.4026,0.1784,0.011199999999999988
498,2021 Michael Pineda,2021501381,1629.0,3.0,0.656,0.6275,18.0,0.5384,0.0891,0.02850000000000008
499,2021 Mike Minor,2021501985,2543.0,4.0,0.5569,0.5896,17.0,0.4298,0.1598,-0.03270000000000006
500,2021 Kyle Gibson,2021502043,2801.0,6.0,0.5143,0.4793,18.0,0.3413,0.138,0.034999999999999976
501,2021 Alex Cobb,2021502171,1521.0,4.0,0.6904,0.6037,18.0,0.4241,0.1796,0.0867
502,2021 Paolo Espino,2021502179,1677.0,4.0,0.6022,0.6,18.0,0.551,0.049,0.0021999999999999797
503,2021 Wily Peralta,2021503449,1535.0,4.0,0.5665,0.4609,19.0,0.3081,0.1528,0.10560000000000003
504,2021 Yu Darvish,2021506433,2682.0,6.0,0.6106,0.6259,14.0,0.5373,0.0886,-0.01529999999999998
505,2021 Alex Colomé,2021517008,1021.0,2.0,0.8078,0.8125,18.0,0.712,0.1005,-0.0047000000000000375
506,2021 Madison Bumgarner,2021518516,2217.0,5.0,0.6227,0.6396,14.0,0.3424,0.2972,-0.016899999999999915
507,2021 Steve Cishek,2021518553,1140.0,4.0,0.6246,0.5825,16.0,0.4158,0.1667,0.042100000000000026
508,2021 Jake Diekman,2021518617,1086.0,4.0,0.6646,0.6434,19.0,0.5783,0.0651,0.021199999999999997
509,2021 Matt Harvey,2021518774,2134.0,5.0,0.4225,0.4101,10.0,0.343,0.0671,0.012399999999999967
510,2021 Merrill Kelly,2021518876,2340.0,5.0,0.4621,0.5009,15.0,0.3192,0.1817,-0.0388
511,2021 Matt Moore,2021519043,1229.0,4.0,0.6819,0.6429,17.0,0.581,0.0619,0.038999999999999924
512,2021 Will Smith,2021519293,1033.0,3.0,0.6705,0.6486,16.0,0.4714,0.1772,0.02190000000000003
513,2021 Liam Hendriks,2021521230,1012.0,4.0,0.7708,0.7352,19.0,0.6858,0.0494,0.035600000000000076
514,2021 Martín Pérez,2021527048,1810.0,5.0,0.5807,0.5364,18.0,0.2901,0.2463,0.044300000000000006
515,2021 Tyler Anderson,2021542881,2453.0,6.0,0.5878,0.5489,15.0,0.3722,0.1767,0.038899999999999935
516,2021 Gerrit Cole,2021543037,2913.0,5.0,0.5325,0.5418,18.0,0.4693,0.0725,-0.009299999999999975
517,2021 Anthony DeSclafani,2021543101,2450.0,5.0,0.4556,0.4763,9.0,0.3555,0.1208,-0.020699999999999996
518,2021 Nathan Eovaldi,2021543135,2826.0,5.0,0.5276,0.5007,18.0,0.4207,0.08,0.026899999999999924
519,2021 Sonny Gray,2021543243,2209.0,6.0,0.5743,0.575,17.0,0.2911,0.2839,-0.0006999999999999229
520,2021 Kyle Hendricks,2021543294,2700.0,4.0,0.6444,0.6385,15.0,0.4211,0.2174,0.005900000000000016
521,2021 Jordan Lyles,2021543475,2900.0,6.0,0.5453,0.5338,19.0,0.391,0.1428,0.011499999999999955
522,2021 Trevor May,2021543507,1059.0,3.0,0.6159,0.6528,12.0,0.6025,0.0503,-0.036900000000000044
523,2021 Jake Odorizzi,2021543606,1787.0,5.0,0.6381,0.6577,17.0,0.5495,0.1082,-0.01959999999999995
524,2021 Bryan Shaw,2021543766,1295.0,5.0,0.828,0.8086,19.0,0.7737,0.0349,0.019399999999999973
525,2021 Trevor Bauer,2021545333,1709.0,6.0,0.6167,0.6262,19.0,0.3985,0.2277,-0.009499999999999953
526,2021 Kwang Hyun Kim,2021547942,1730.0,5.0,0.6369,0.6305,13.0,0.4127,0.2178,0.006400000000000072
527,2021 Hyun Jin Ryu,2021547943,2597.0,6.0,0.5568,0.5831,17.0,0.3543,0.2288,-0.02629999999999999
528,2021 Ross Stripling,2021548389,1627.0,4.0,0.5377,0.5455,15.0,0.5114,0.0341,-0.007800000000000029
529,2021 Zack Wheeler,2021554430,3118.0,5.0,0.5398,0.5705,11.0,0.4262,0.1443,-0.03070000000000006
530,2021 Tyler Matzek,2021554431,1016.0,3.0,0.8268,0.7598,19.0,0.7037,0.0561,0.06699999999999995
531,2021 José Ureña,2021570632,1647.0,4.0,0.5725,0.5413,19.0,0.4724,0.0689,0.031200000000000006
532,2021 Hansel Robles,2021570663,1037.0,4.0,0.6731,0.5654,19.0,0.5583,0.0071,0.10770000000000002
533,2021 Matt Boyd,2021571510,1207.0,5.0,0.5635,0.5596,19.0,0.4234,0.1362,0.0039000000000000146
534,2021 Patrick Corbin,2021571578,2676.0,6.0,0.5815,0.6039,8.0,0.3823,0.2216,-0.022399999999999975
535,2021 Andrew Heaney,2021571760,2136.0,4.0,0.6654,0.6498,19.0,0.5941,0.0557,0.015599999999999947
536,2021 Steven Matz,2021571927,2480.0,4.0,0.6371,0.621,17.0,0.5206,0.1004,0.016100000000000003
537,2021 Garrett Richards,2021572070,2283.0,5.0,0.5929,0.6217,13.0,0.5291,0.0926,-0.028800000000000048
538,2021 Pierce Johnson,2021572955,1020.0,2.0,0.7778,0.702,19.0,0.6755,0.0265,0.07580000000000009
539,2021 Dallas Keuchel,2021572971,2633.0,5.0,0.5892,0.6131,13.0,0.3794,0.2337,-0.023900000000000032
540,2021 Marcus Stroman,2021573186,2703.0,6.0,0.6413,0.6021,17.0,0.4199,0.1822,0.03920000000000001
541,2021 Caleb Thielbar,2021573204,1026.0,4.0,0.6632,0.6226,17.0,0.4893,0.1333,0.04059999999999997
542,2021 Yusei Kikuchi,2021579328,2501.0,4.0,0.5957,0.6118,11.0,0.3571,0.2547,-0.016100000000000003
543,2021 Mike Foltynewicz,2021592314,2180.0,5.0,0.4508,0.4275,19.0,0.2931,0.1344,0.023299999999999987
544,2021 Kevin Gausman,2021592332,2917.0,4.0,0.6694,0.6767,14.0,0.5279,0.1488,-0.007299999999999973
545,2021 Chi Chi González,2021592346,1589.0,6.0,0.5248,0.5477,14.0,0.4688,0.0789,-0.02289999999999992
546,2021 Jon Gray,2021592351,2463.0,4.0,0.5934,0.5909,19.0,0.4787,0.1122,0.0025000000000000577
547,2021 Luke Jackson,2021592426,1025.0,3.0,0.6367,0.6265,16.0,0.52,0.1065,0.010200000000000098
548,2021 Robbie Ray,2021592662,3043.0,5.0,0.6691,0.6715,6.0,0.5938,0.0777,-0.0023999999999999577
549,2021 Caleb Smith,2021592761,1988.0,4.0,0.6553,0.6177,19.0,0.4809,0.1368,0.03759999999999997
550,2021 Drew Smyly,2021592767,2048.0,3.0,0.7135,0.7461,19.0,0.4658,0.2803,-0.03259999999999996
551,2021 Ryne Stanek,2021592773,1068.0,3.0,0.6454,0.6704,18.0,0.5936,0.0768,-0.025000000000000022
552,2021 Jameson Taillon,2021592791,2290.0,6.0,0.5446,0.548,9.0,0.4886,0.0594,-0.0034000000000000696
553,2021 Vince Velasquez,2021592826,1677.0,5.0,0.4837,0.5571,12.0,0.4973,0.0598,-0.07340000000000002
554,2021 Taijuan Walker,2021592836,2489.0,6.0,0.515,0.4687,14.0,0.3584,0.1103,0.04630000000000001
555,2021 Trevor Williams,2021592866,1489.0,5.0,0.5726,0.563,16.0,0.4768,0.0862,0.009600000000000053
556,2021 Domingo Germán,2021593334,1556.0,4.0,0.5656,0.5424,18.0,0.338,0.2044,0.0232
557,2021 Carlos Martinez,2021593372,1244.0,6.0,0.5209,0.4984,19.0,0.2725,0.2259,0.02250000000000002
558,2021 Frankie Montas,2021593423,2947.0,5.0,0.5172,0.5237,19.0,0.2908,0.2329,-0.006500000000000061
559,2021 Hector Neris,2021593576,1205.0,4.0,0.6312,0.606,19.0,0.405,0.201,0.0252
560,2021 Eduardo Rodriguez,2021593958,2664.0,5.0,0.5365,0.533,13.0,0.399,0.134,0.0034999999999999476
561,2021 Mike Mayers,2021594577,1180.0,5.0,0.5763,0.5661,17.0,0.3763,0.1898,0.010199999999999987
562,2021 Jacob deGrom,2021594798,1196.0,4.0,0.6867,0.7057,19.0,0.5744,0.1313,-0.019000000000000017
563,2021 Marco Gonzales,2021594835,2247.0,4.0,0.6113,0.6139,17.0,0.5065,0.1074,-0.0026000000000000467
564,2021 Blake Treinen,2021595014,1045.0,4.0,0.6769,0.7061,19.0,0.355,0.3511,-0.029200000000000004
565,2021 Luke Weaver,2021596133,1043.0,5.0,0.6701,0.636,19.0,0.6194,0.0166,0.03410000000000002
566,2021 Austin Gomber,2021596295,1788.0,4.0,0.6003,0.604,16.0,0.4105,0.1935,-0.0037000000000000366
567,2021 Nick Pivetta,2021601713,2633.0,5.0,0.5522,0.5493,12.0,0.5203,0.029,0.0029000000000000137
568,2021 Scott Barlow,2021605130,1181.0,4.0,0.5944,0.5845,18.0,0.4589,0.1256,0.00990000000000002
569,2021 Chris Bassitt,2021605135,2344.0,6.0,0.5546,0.5375,15.0,0.3562,0.1813,0.017100000000000004
570,2021 Dylan Bundy,2021605164,1494.0,5.0,0.4991,0.516,19.0,0.342,0.174,-0.016900000000000026
571,2021 Zach Davies,2021605200,2522.0,5.0,0.661,0.6656,19.0,0.525,0.1406,-0.0045999999999999375
572,2021 Michael Fulmer,2021605242,1105.0,5.0,0.5688,0.5199,19.0,0.3982,0.1217,0.048899999999999944
573,2021 Clay Holmes,2021605280,1065.0,4.0,0.6654,0.6517,17.0,0.585,0.0667,0.013700000000000045
574,2021 Adrian Houser,2021605288,2305.0,5.0,0.6047,0.6326,11.0,0.5406,0.092,-0.027900000000000036
575,2021 Jorge López,2021605347,2111.0,5.0,0.4864,0.5189,15.0,0.3595,0.1594,-0.03250000000000003
576,2021 Joe Musgrove,2021605397,2871.0,6.0,0.4872,0.4694,16.0,0.2773,0.1921,0.017800000000000038
577,2021 Aaron Nola,2021605400,2860.0,5.0,0.5082,0.4741,9.0,0.378,0.0961,0.034099999999999964
578,2021 Joe Ross,2021605452,1672.0,4.0,0.5941,0.5981,16.0,0.4677,0.1304,-0.0040000000000000036
579,2021 Blake Snell,2021605483,2283.0,4.0,0.5882,0.655,7.0,0.5278,0.1272,-0.06680000000000008
580,2021 Zach Thompson,2021605507,1158.0,5.0,0.523,0.5414,19.0,0.3515,0.1899,-0.018399999999999972
581,2021 Brandon Woodruff,2021605540,2689.0,5.0,0.5228,0.5141,16.0,0.3354,0.1787,0.008700000000000041
582,2021 Giovanny Gallegos,2021606149,1197.0,3.0,0.6388,0.6167,19.0,0.5255,0.0912,0.02210000000000001
583,2021 Carlos Rodón,2021607074,2124.0,4.0,0.6886,0.6648,18.0,0.5857,0.0791,0.023800000000000043
584,2021 Tyler Glasnow,2021607192,1320.0,4.0,0.6434,0.6485,17.0,0.5159,0.1326,-0.005099999999999993
585,2021 Erick Fedde,2021607200,2355.0,5.0,0.6053,0.6214,15.0,0.4229,0.1985,-0.016100000000000003
586,2021 John Gant,2021607231,1945.0,6.0,0.5494,0.5544,14.0,0.3707,0.1837,-0.0050000000000000044
587,2021 Kyle Freeland,2021607536,1858.0,5.0,0.5628,0.5505,17.0,0.254,0.2965,0.012299999999999978
588,2021 John Means,2021607644,2253.0,4.0,0.5731,0.5691,17.0,0.4763,0.0928,0.0040000000000000036
589,2021 Max Fried,2021608331,2459.0,5.0,0.5803,0.561,18.0,0.3904,0.1706,0.019299999999999984
590,2021 Kyle Funkhouser,2021608335,1120.0,4.0,0.5738,0.5607,19.0,0.4054,0.1553,0.0131
591,2021 Lucas Giolito,2021608337,2820.0,4.0,0.5357,0.5447,11.0,0.4394,0.1053,-0.009000000000000008
592,2021 Cole Irvin,2021608344,2618.0,6.0,0.4763,0.5359,9.0,0.4064,0.1295,-0.05960000000000004
593,2021 Michael Wacha,2021608379,1881.0,5.0,0.5482,0.5393,18.0,0.3583,0.181,0.008900000000000019
594,2021 Germán Márquez,2021608566,2779.0,5.0,0.5739,0.6,7.0,0.4552,0.1448,-0.026100000000000012
595,2021 Chris Stratton,2021608717,1335.0,5.0,0.5514,0.5359,17.0,0.4816,0.0543,0.015499999999999958
596,2021 Brent Suter,2021608718,1128.0,5.0,0.7671,0.7872,17.0,0.7252,0.062,-0.020100000000000007
597,2021 Miguel Castro,2021612434,1228.0,3.0,0.6916,0.5733,19.0,0.4275,0.1458,0.11829999999999996
598,2021 José Ruiz,2021614179,1001.0,4.0,0.7013,0.5936,19.0,0.5984,-0.0048,0.10770000000000002
599,2021 Cal Quantrill,2021615698,2296.0,6.0,0.5372,0.5087,18.0,0.3645,0.1442,0.02849999999999997
600,2021 Alex Reyes,2021621052,1122.0,5.0,0.5291,0.4555,18.0,0.3084,0.1471,0.0736
601,2021 James Kaprielian,2021621076,1938.0,5.0,0.5699,0.534,13.0,0.5263,0.0077,0.03589999999999993
602,2021 Zach Eflin,2021621107,1569.0,6.0,0.5068,0.4733,16.0,0.4213,0.052,0.03350000000000003
603,2021 Walker Buehler,2021621111,3049.0,6.0,0.5131,0.5531,9.0,0.4395,0.1136,-0.040000000000000036
604,2021 Lance McCullers,2021621121,2695.0,5.0,0.6408,0.6409,17.0,0.3388,0.3021,-9.999999999998899e-05
605,2021 Alec Mills,2021621219,1839.0,5.0,0.5127,0.5239,15.0,0.4274,0.0965,-0.011199999999999988
606,2021 José Berríos,2021621244,2979.0,4.0,0.4763,0.4913,6.0,0.3055,0.1858,-0.015000000000000013
607,2021 Duane Underwood,2021621249,1153.0,6.0,0.5671,0.5433,18.0,0.3591,0.1842,0.023800000000000043
608,2021 Taylor Hearn,2021621368,1638.0,5.0,0.5831,0.5634,15.0,0.456,0.1074,0.01969999999999994
609,2021 Alex Wood,2021622072,2136.0,3.0,0.6773,0.6704,16.0,0.4602,0.2102,0.006900000000000017
610,2021 Josh Staumont,2021622251,1038.0,3.0,0.6594,0.5577,19.0,0.4364,0.1213,0.10170000000000001
611,2021 Luis Castillo,2021622491,3047.0,4.0,0.4998,0.5315,7.0,0.3039,0.2276,-0.03169999999999995
612,2021 Nabil Crismatt,2021622503,1290.0,4.0,0.6339,0.5882,18.0,0.5109,0.0773,0.045700000000000074
613,2021 Antonio Senzatela,2021622608,2339.0,5.0,0.626,0.6308,19.0,0.5477,0.0831,-0.0048000000000000265
614,2021 Paul Sewald,2021623149,1045.0,3.0,0.6424,0.6107,15.0,0.5789,0.0318,0.03169999999999995
615,2021 Chris Flexen,2021623167,2681.0,4.0,0.5821,0.532,17.0,0.3965,0.1355,0.05009999999999992
616,2021 Ranger Suárez,2021624133,1551.0,4.0,0.6922,0.6521,15.0,0.452,0.2001,0.040100000000000025
617,2021 Kenta Maeda,2021628317,1730.0,5.0,0.6014,0.5889,19.0,0.3618,0.2271,0.012500000000000067
618,2021 Julio Urías,2021628711,2681.0,4.0,0.6617,0.6483,14.0,0.4823,0.166,0.013399999999999967
619,2021 Wil Crowe,2021640444,2085.0,5.0,0.5304,0.4904,16.0,0.3511,0.1393,0.03999999999999998
620,2021 Kyle Finnegan,2021640448,1105.0,3.0,0.744,0.7076,19.0,0.6896,0.018,0.03639999999999999
621,2021 Sean Manaea,2021640455,2858.0,5.0,0.6734,0.6923,9.0,0.5906,0.1017,-0.018900000000000028
622,2021 Adbert Alzolay,2021640470,1900.0,6.0,0.4821,0.5116,9.0,0.3958,0.1158,-0.02950000000000008
623,2021 Pablo López,2021641154,1611.0,5.0,0.5505,0.5062,16.0,0.3215,0.1847,0.044300000000000006
624,2021 Tyler Alexander,2021641302,1589.0,6.0,0.5609,0.495,17.0,0.3625,0.1325,0.06589999999999996
625,2021 Jake Brentz,2021641394,1073.0,4.0,0.6144,0.6506,13.0,0.5862,0.0644,-0.03620000000000001
626,2021 Nestor Cortes,2021641482,1477.0,5.0,0.5646,0.6162,18.0,0.4292,0.187,-0.05159999999999998
627,2021 Dane Dunning,2021641540,1871.0,6.0,0.6244,0.6047,17.0,0.5222,0.0825,0.01969999999999994
628,2021 Brad Keller,2021641745,2281.0,4.0,0.5228,0.5219,17.0,0.3494,0.1725,0.0009000000000000119
629,2021 Tyler Kinley,2021641755,1079.0,5.0,0.6255,0.6074,9.0,0.5144,0.093,0.018099999999999894
630,2021 Chad Kuhl,2021641771,1403.0,5.0,0.5485,0.5556,17.0,0.4619,0.0937,-0.007099999999999995
631,2021 Eric Lauer,2021641778,1860.0,5.0,0.5828,0.5656,17.0,0.4382,0.1274,0.017199999999999993
632,2021 Tyler Mahle,2021641816,3085.0,4.0,0.6113,0.614,11.0,0.5293,0.0847,-0.0027000000000000357
633,2021 Bailey Ober,2021641927,1421.0,4.0,0.5221,0.6152,9.0,0.5764,0.0388,-0.09309999999999996
634,2021 Emilio Pagán,2021641941,1016.0,4.0,0.6955,0.6732,17.0,0.6161,0.0571,0.022299999999999986
635,2021 Riley Smith,2021642092,1018.0,6.0,0.6632,0.5647,17.0,0.5727,-0.008,0.09850000000000003
636,2021 Lou Trivino,2021642152,1096.0,5.0,0.5036,0.4964,17.0,0.3294,0.167,0.00720000000000004
637,2021 Taylor Widener,2021642203,1208.0,5.0,0.6876,0.6954,19.0,0.6639,0.0315,-0.007800000000000029
638,2021 Ryan Yarbrough,2021642232,2351.0,5.0,0.6733,0.6446,19.0,0.3956,0.249,0.02870000000000006
639,2021 Jonathan Loáisiga,2021642528,1042.0,5.0,0.6312,0.567,16.0,0.5403,0.0267,0.06420000000000003
640,2021 Freddy Peralta,2021642547,2287.0,5.0,0.5983,0.5927,16.0,0.5151,0.0776,0.005600000000000049
641,2021 Chad Green,2021643338,1238.0,3.0,0.6897,0.6774,15.0,0.6519,0.0255,0.012299999999999978
642,2021 Griffin Jax,2021643377,1333.0,4.0,0.5816,0.5988,17.0,0.4539,0.1449,-0.017199999999999993
643,2021 Tyler Rogers,2021643511,1071.0,3.0,0.6513,0.6791,12.0,0.5359,0.1432,-0.027800000000000047
644,2021 Sandy Alcantara,2021645261,3000.0,5.0,0.5191,0.5347,15.0,0.287,0.2477,-0.015599999999999947
645,2021 Aaron Civale,2021650644,1890.0,6.0,0.4827,0.4524,18.0,0.2529,0.1995,0.030299999999999994
646,2021 Génesis Cabrera,2021650893,1154.0,4.0,0.6462,0.6159,18.0,0.448,0.1679,0.030299999999999994
647,2021 Griffin Canning,2021656288,1032.0,4.0,0.5426,0.5039,18.0,0.4021,0.1018,0.03869999999999996
648,2021 Dylan Cease,2021656302,2930.0,4.0,0.5867,0.5389,19.0,0.4679,0.071,0.047799999999999954
649,2021 Jack Flaherty,2021656427,1308.0,5.0,0.6096,0.5566,14.0,0.5076,0.049,0.05300000000000005
650,2021 Sam Hentges,2021656529,1239.0,5.0,0.6351,0.5839,17.0,0.4181,0.1658,0.05120000000000002
651,2021 Jeff Hoffman,2021656546,1333.0,4.0,0.6617,0.6497,15.0,0.5611,0.0886,0.0119999999999999
652,2021 Tanner Houck,2021656557,1114.0,4.0,0.5521,0.5161,15.0,0.386,0.1301,0.03600000000000003
653,2021 Mitch Keller,2021656605,1838.0,4.0,0.6219,0.65,13.0,0.568,0.082,-0.028100000000000014
654,2021 Michael Kopech,2021656629,1070.0,4.0,0.6758,0.709,11.0,0.6411,0.0679,-0.03320000000000001
655,2021 Tylor Megill,2021656731,1518.0,4.0,0.6318,0.6395,18.0,0.5751,0.0644,-0.007699999999999929
656,2021 Jordan Montgomery,2021656756,2493.0,5.0,0.5457,0.5545,18.0,0.2439,0.3106,-0.00880000000000003
657,2021 David Peterson,2021656849,1063.0,5.0,0.5734,0.5188,17.0,0.2973,0.2215,0.05459999999999998
658,2021 Drew Rasmussen,2021656876,1149.0,4.0,0.7015,0.6632,18.0,0.6414,0.0218,0.0383
659,2021 Tanner Scott,2021656945,1003.0,3.0,0.6941,0.7251,17.0,0.5135,0.2116,-0.030999999999999917
660,2021 Justus Sheffield,2021656954,1410.0,4.0,0.6395,0.6884,8.0,0.4652,0.2232,-0.048900000000000055
661,2021 Logan Webb,2021657277,2186.0,5.0,0.5876,0.5503,18.0,0.3783,0.172,0.0373
662,2021 Shohei Ohtani,2021660271,1995.0,5.0,0.6036,0.5631,17.0,0.4411,0.122,0.04049999999999998
663,2021 Huascar Ynoa,2021660623,1446.0,4.0,0.6771,0.6354,19.0,0.4813,0.1541,0.04170000000000007
664,2021 José Suarez,2021660761,1553.0,4.0,0.5988,0.5681,15.0,0.396,0.1721,0.03069999999999995
665,2021 Vladimir Gutiérrez,2021661269,1794.0,5.0,0.5717,0.5367,11.0,0.4721,0.0646,0.03500000000000003
666,2021 Kris Bubic,2021663460,2133.0,3.0,0.6535,0.6404,15.0,0.5199,0.1205,0.0131
667,2021 Kolby Allard,2021663465,1942.0,5.0,0.5852,0.6029,13.0,0.4686,0.1343,-0.017699999999999938
668,2021 Triston McKenzie,2021663474,1908.0,4.0,0.6422,0.6352,11.0,0.6184,0.0168,0.007000000000000006
669,2021 Casey Mize,2021663554,2266.0,5.0,0.4432,0.4797,14.0,0.2868,0.1929,-0.03650000000000003
670,2021 Shane McClanahan,2021663556,1916.0,4.0,0.5581,0.6013,10.0,0.4102,0.1911,-0.043199999999999905
671,2021 Daniel Lynch,2021663738,1211.0,5.0,0.5727,0.5314,18.0,0.4021,0.1293,0.0413
672,2021 Jake Woodford,2021663765,1129.0,5.0,0.5532,0.47,19.0,0.3676,0.1024,0.08320000000000005
673,2021 Patrick Sandoval,2021663776,1397.0,5.0,0.5606,0.48,19.0,0.2935,0.1865,0.0806
674,2021 Brady Singer,2021663903,2223.0,4.0,0.6557,0.6637,11.0,0.5776,0.0861,-0.008000000000000007
675,2021 Chris Paddack,2021663978,1773.0,3.0,0.6712,0.6937,15.0,0.6142,0.0795,-0.022499999999999964
676,2021 Trevor Stephan,2021663986,1112.0,3.0,0.6763,0.6439,16.0,0.5962,0.0477,0.032399999999999984
677,2021 JT Brubaker,2021664141,1907.0,5.0,0.479,0.4717,19.0,0.3408,0.1309,0.007299999999999973
678,2021 Phil Maton,2021664208,1133.0,4.0,0.5878,0.5423,15.0,0.4969,0.0454,0.045499999999999985
679,2021 Framber Valdez,2021664285,2090.0,4.0,0.7084,0.7323,13.0,0.5211,0.2112,-0.02389999999999992
680,2021 Cristian Javier,2021664299,1738.0,4.0,0.6792,0.6391,16.0,0.5921,0.047,0.040100000000000025
681,2021 José Urquidy,2021664353,1613.0,4.0,0.6121,0.6163,16.0,0.5474,0.0689,-0.0041999999999999815
682,2021 Ian Anderson,2021666120,2109.0,4.0,0.6009,0.6061,13.0,0.4723,0.1338,-0.005199999999999982
683,2021 Matt Manning,2021666159,1383.0,5.0,0.4986,0.4566,18.0,0.4136,0.043,0.04199999999999998
684,2021 Jesús Luzardo,2021666200,1671.0,4.0,0.5682,0.5167,17.0,0.3238,0.1929,0.05149999999999999
685,2021 Alek Manoah,2021666201,1768.0,4.0,0.5053,0.4661,13.0,0.3631,0.103,0.03919999999999996
686,2021 Zach Plesac,2021668676,2151.0,4.0,0.5493,0.5372,12.0,0.4179,0.1193,0.0121
