game_year,game_pk,pitcher_id,pitcher_name,batter_id,batter_name,count,p_p1,p_p2,p_p3,p_p4,p_p5,p_p6,p_p7,b_p1,b_p2,b_p3,b_p4,b_p5,b_p6,b_p7,prev_pitch,pp_loc,prev_pitch_2,pp2_loc,prev_pitch_3,pp3_loc,pitch_number,count_code,inning,bat_stand,base_sit,outs_when_up,p_1,p_2,p_3,p_4,p_5,p_6,p_7
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.275,0.225,0.175,0.25,0.075,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,0-1,0,0.021739130434782608,0.5869565217391305,0.2826086956521739,0.021739130434782608,0.08695652173913043,0,0,0,1,0,0,0,0,3,7,0,0,0,0,2,2,2,2,1,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,0-2,0.15384615384615385,0,0.3076923076923077,0.46153846153846156,0.07692307692307693,0,0,0,0,0,1,0,0,0,3,7,3,7,0,0,3,5,2,2,1,1,0,0,0,1,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,0-2,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.5,0,0,0,0,0.25,0,0.5,0,0.25,0,4,13,3,7,3,7,4,5,2,2,1,1,0,0,0,1,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,1-2,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.06666666666666667,0,0,0.2,0.2,0.2,0.2,0,0.2,0,4,13,4,13,3,7,5,7,2,2,1,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,2-2,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0,0,0,0,0,0.6,0.2,0.2,0,0,3,13,4,13,4,13,6,11,2,2,1,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-1,0,0.021739130434782608,0.5869565217391305,0.2826086956521739,0.021739130434782608,0.08695652173913043,0,0,0,1,0,0,0,0,3,8,0,0,0,0,2,2,2,2,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-2,0.15384615384615385,0,0.3076923076923077,0.46153846153846156,0.07692307692307693,0,0,0,0,0,1,0,0,0,3,7,3,8,0,0,3,5,2,2,0,1,0,0,0,1,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-2,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.5,0,0,0,1,0,0,0,0,0,0,4,13,3,7,3,8,4,5,2,2,0,1,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.4065934065934066,0.18681318681318682,0.04395604395604396,0.08791208791208792,0.16483516483516483,0.10989010989010989,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,1,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,1-0,0.05263157894736842,0,0.3684210526315789,0,0.3684210526315789,0.21052631578947367,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0,5,14,0,0,0,0,2,3,2,1,0,2,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,2-0,0.09090909090909091,0,0.36363636363636365,0,0,0.5454545454545454,0,0.5,0,0.375,0,0,0.125,0,1,12,5,14,0,0,3,6,2,1,0,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,2-1,0.14285714285714285,0,0.5714285714285714,0,0,0.2857142857142857,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,3,1,1,12,5,14,4,8,2,1,0,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,3-1,0.07692307692307693,0,0.6153846153846154,0,0,0.3076923076923077,0,0,0,0.5,0,0,0.5,0,3,12,3,1,1,12,5,10,2,1,0,2,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,3-2,0.15151515151515152,0,0.36363636363636365,0,0,0.48484848484848486,0,0,0.25,0.25,0,0.25,0.25,0,6,5,3,12,3,1,6,12,2,1,0,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.43119266055045874,0.1743119266055046,0.009174311926605505,0.13761467889908258,0.1926605504587156,0.05504587155963303,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,1-0,0,0,0.2857142857142857,0,0,0.7142857142857143,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0,6,13,0,0,0,0,2,3,2,1,1,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,1-1,0.0970873786407767,0,0.5922330097087378,0,0,0.3106796116504854,0,0,0,0.6666666666666666,0,0,0.3333333333333333,0,3,7,6,13,0,0,3,4,2,1,1,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,457759,Justin Turner,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.3925233644859813,0.19626168224299065,0.06542056074766354,0.16822429906542055,0.11214953271028037,0.06542056074766354,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,457759,Justin Turner,1-0,0.189873417721519,0,0.620253164556962,0,0,0.189873417721519,0,0.2,0,0.2,0,0.4,0.2,0,3,13,0,0,0,0,2,3,3,1,0,0,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,405395,Albert Pujols,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.1323529411764706,0.1323529411764706,0.08823529411764706,0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,405395,Albert Pujols,1-0,0.189873417721519,0,0.620253164556962,0,0,0.189873417721519,0,1,0,0,0,0,0,0,3,13,0,0,0,0,2,3,3,1,0,1,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,405395,Albert Pujols,2-0,0.09090909090909091,0,0.36363636363636365,0,0,0.5454545454545454,0,0.5,0,0,0,0,0.5,0,1,13,3,13,0,0,3,6,3,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,405395,Albert Pujols,3-0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,1,0,0,0,0,0,0,6,13,1,13,3,13,4,9,3,1,0,1,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,608369,Corey Seager,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.2112676056338028,0.1267605633802817,0.07042253521126761,0.36619718309859156,0.19718309859154928,0.028169014084507043,0,0,0,0,0,0,0,1,1,3,2,1,1,0,0,0,1,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.38666666666666666,0.14666666666666667,0.08,0.10666666666666667,0.14666666666666667,0.13333333333333333,0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,1-0,0,0,0.2857142857142857,0,0,0.7142857142857143,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0.16666666666666666,0,6,13,0,0,0,0,2,3,3,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,2-0,0.044444444444444446,0,0.6222222222222222,0,0,0.3333333333333333,0,0,0.5,0.5,0,0,0,0,3,13,6,13,0,0,3,6,3,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,3-0,0.25,0,0.75,0,0,0,0,0,0,1,0,0,0,0,3,13,3,13,6,13,4,9,3,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,3-1,0.07692307692307693,0,0.6153846153846154,0,0,0.3076923076923077,0,0,0,1,0,0,0,0,3,8,3,13,3,13,5,10,3,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,621035,Chris Taylor,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.3125,0.125,0.041666666666666664,0.1875,0.15625,0.17708333333333334,0,0,0,0,0,0,0,1,1,3,1,0,2,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,621035,Chris Taylor,0-1,0.07547169811320754,0,0.24528301886792453,0,0,0.6792452830188679,0,0.09090909090909091,0,0.18181818181818182,0.2727272727272727,0,0.45454545454545453,0,6,8,0,0,0,0,2,2,3,1,0,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,621035,Chris Taylor,1-1,0.0970873786407767,0,0.5922330097087378,0,0,0.3106796116504854,0,0.25,0,0.25,0.25,0,0.25,0,3,11,6,8,0,0,3,4,3,1,0,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,666158,Gavin Lux,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.275,0.225,0.175,0.25,0.075,0,0,0,0,0,0,0,0,1,1,3,2,2,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,1,1,3,2,1,2,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,477132,Clayton Kershaw,0-1,0,0.021739130434782608,0.5869565217391305,0.2826086956521739,0.021739130434782608,0.08695652173913043,0,0,0,1,0,0,0,0,3,4,0,0,0,0,2,2,3,2,1,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,663647,Ke'Bryan Hayes,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.40229885057471265,0.11494252873563218,0.06896551724137931,0.13793103448275862,0.13793103448275862,0.13793103448275862,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,663647,Ke'Bryan Hayes,0-1,0.1366906474820144,0,0.5827338129496403,0.007194244604316547,0.007194244604316547,0.26618705035971224,0,0,0,1,0,0,0,0,3,4,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,663647,Ke'Bryan Hayes,0-2,0.36585365853658536,0,0.43902439024390244,0,0,0.1951219512195122,0,0.5,0,0,0.5,0,0,0,3,5,3,4,0,0,3,5,1,1,0,0,1,0,0,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,621028,Kevin Newman,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.35135135135135137,0.1981981981981982,0.10810810810810811,0.11711711711711711,0.08108108108108109,0.14414414414414414,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.31666666666666665,0.11666666666666667,0.058333333333333334,0.15833333333333333,0.16666666666666666,0.18333333333333332,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,1-0,0,0,0.2857142857142857,0,0,0.7142857142857143,0,0.2857142857142857,0.14285714285714285,0,0.21428571428571427,0.21428571428571427,0.14285714285714285,0,6,7,0,0,0,0,2,3,1,1,2,1,0,0,0,0,0,1,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,1-1,0.09195402298850575,0,0.16091954022988506,0.011494252873563218,0,0.735632183908046,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0,6,6,6,7,0,0,3,4,1,1,2,1,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,1-2,0.3728813559322034,0,0.2711864406779661,0.03389830508474576,0.03389830508474576,0.288135593220339,0,0.3333333333333333,0,0,0,0,0.6666666666666666,0,3,7,6,6,6,7,4,7,1,1,2,1,0,0,0,0,0,1,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,2-2,0.17391304347826086,0.021739130434782608,0.32608695652173914,0,0,0.4782608695652174,0,0.25,0.25,0.3333333333333333,0.16666666666666666,0,0,0,6,14,3,7,6,6,5,11,1,1,2,1,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,668804,Bryan Reynolds,3-2,0.20512820512820512,0,0.4358974358974359,0,0.02564102564102564,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0.6666666666666666,0,3,14,6,14,3,7,6,12,1,1,2,1,0,0,0,0,0,1,0
2021,632503,2021489119,2021 Wade Miley,660294,Yoshi Tsutsugo,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.4642857142857143,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.07142857142857142,0,0,0,0,0,0,0,0,1,1,1,2,4,1,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,660294,Yoshi Tsutsugo,0-1,0,0.021739130434782608,0.5869565217391305,0.2826086956521739,0.021739130434782608,0.08695652173913043,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,3,4,0,0,0,0,2,2,1,2,4,1,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,607732,Jacob Stallings,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.3333333333333333,0.21296296296296297,0.08333333333333333,0.10185185185185185,0.07407407407407407,0.19444444444444445,0,0,0,0,0,0,0,1,1,1,1,3,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,607732,Jacob Stallings,1-0,0.189873417721519,0,0.620253164556962,0,0,0.189873417721519,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,3,13,0,0,0,0,2,3,1,1,3,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,546990,Anthony Alford,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.24,0.2,0.08,0.08,0.2,0.2,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,546990,Anthony Alford,0-1,0.1366906474820144,0,0.5827338129496403,0.007194244604316547,0.007194244604316547,0.26618705035971224,0,0,0,0,0,0,1,0,3,8,0,0,0,0,2,2,1,1,1,2,0,0,0,0,0,1,0
2021,632503,2021489119,2021 Wade Miley,592325,Ben Gamel,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.42105263157894735,0.12280701754385964,0.10526315789473684,0.2631578947368421,0.08771929824561403,0,0,0,0,0,0,0,0,1,1,1,2,4,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,592325,Ben Gamel,1-0,0.02702702702702703,0.02702702702702703,0.8918918918918919,0.02702702702702703,0,0.02702702702702703,0,0.2,0,0.8,0,0,0,0,3,13,0,0,0,0,2,3,1,2,4,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,592325,Ben Gamel,1-1,0,0.06666666666666667,0.5333333333333333,0.2,0.1,0.1,0,0,0,0.5,0.5,0,0,0,3,7,3,13,0,0,3,4,1,2,4,2,0,0,0,1,0,0,0
2021,632503,2021489119,2021 Wade Miley,592325,Ben Gamel,2-1,0,0,0.125,0.625,0,0.25,0,0.25,0,0,0.75,0,0,0,4,13,3,7,3,13,4,8,1,2,4,2,0,0,0,1,0,0,0
2021,632503,2021489119,2021 Wade Miley,592325,Ben Gamel,2-2,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.3888888888888889,0,0.05555555555555555,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,4,13,4,13,3,7,5,11,1,2,4,2,0,0,0,1,0,0,0
2021,632503,2021489119,2021 Wade Miley,594694,Wilmer Difo,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.375,0.1875,0.09375,0.0625,0.09375,0.1875,0,0,0,0,0,0,0,1,1,1,1,5,2,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,596071,Dillon Peters,0-0,0.030534351145038167,0.022900763358778626,0.732824427480916,0.16030534351145037,0.030534351145038167,0.022900763358778626,0,0.6666666666666666,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,596071,Dillon Peters,1-0,0.02702702702702703,0.02702702702702703,0.8918918918918919,0.02702702702702703,0,0.02702702702702703,0,1,0,0,0,0,0,0,3,14,0,0,0,0,2,3,2,2,0,0,1,0,0,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,596071,Dillon Peters,1-1,0,0,0.6666666666666666,0,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0,0,0,1,9,3,14,0,0,3,4,2,2,0,0,0,0,1,0,0,0,0
2021,632503,2021489119,2021 Wade Miley,596071,Dillon Peters,1-2,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,3,6,1,9,3,14,4,7,2,2,0,0,0,0,0,1,0,0,0
